epoch,step,train_loss,train_r2,val_loss,val_r2
0,49,0.7114348411560059,0.30303657054901123,,
0,99,0.4441030025482178,0.5333114862442017,,
0,128,,,0.3260137736797333,0.6545268297195435
1,149,0.3114580512046814,0.6608546376228333,,
1,199,0.6240314841270447,0.6125339269638062,,
1,249,0.1331920027732849,0.8630377054214478,,
1,257,,,0.34518924355506897,0.6356502175331116
2,299,0.3355639576911926,0.3783115744590759,,
2,349,0.2580128014087677,0.6775414943695068,,
2,386,,,0.29965296387672424,0.6852499842643738
3,399,0.17617133259773254,0.750621497631073,,
3,449,0.21518999338150024,0.6574720144271851,,
3,499,0.26741737127304077,0.6044059991836548,,
3,515,,,0.29090064764022827,0.6970405578613281
4,549,0.37528273463249207,0.6360474824905396,,
4,599,0.20399287343025208,0.7238478660583496,,
4,644,,,0.26270604133605957,0.7193105220794678
5,649,0.2710721492767334,0.7231079339981079,,
5,699,0.284901887178421,0.7382642030715942,,
5,749,0.19483289122581482,0.793473482131958,,
5,773,,,0.32677018642425537,0.6573169231414795
6,799,0.45999783277511597,0.6066402792930603,,
6,849,0.29199570417404175,0.7196614742279053,,
6,899,0.32360580563545227,0.575594425201416,,
6,902,,,0.25784215331077576,0.7244973182678223
7,949,0.14940166473388672,0.8652439117431641,,
7,999,0.3301156759262085,0.6939706802368164,,
7,1031,,,0.25619739294052124,0.7269213795661926
8,1049,0.16624213755130768,0.8344683647155762,,
8,1099,0.24880953133106232,0.7406216263771057,,
8,1149,0.33552125096321106,0.7424535155296326,,
8,1160,,,0.2906811535358429,0.697687029838562
9,1199,0.430276095867157,0.4121361970901489,,
9,1249,0.3548206090927124,0.6412090063095093,,
9,1289,,,0.4064807891845703,0.5838809013366699
10,1299,0.5044265389442444,0.70331871509552,,
10,1349,0.41527998447418213,0.7155861258506775,,
10,1399,0.24309390783309937,0.551914393901825,,
10,1418,,,0.3018782138824463,0.6859158277511597
11,1449,0.5925676822662354,0.669090747833252,,
11,1499,0.19782236218452454,0.7932101488113403,,
11,1547,,,0.2394355684518814,0.7454385757446289
12,1549,0.20754463970661163,0.7701771259307861,,
12,1599,0.17608338594436646,0.844008207321167,,
12,1649,0.5366930961608887,0.502611517906189,,
12,1676,,,0.5719253420829773,0.420919805765152
13,1699,0.4935506284236908,0.26181161403656006,,
13,1749,0.2868872582912445,0.4006558656692505,,
13,1799,0.5176644921302795,0.5748355388641357,,
13,1805,,,0.38344165682792664,0.6060039401054382
14,1849,0.4025379419326782,0.6357976198196411,,
14,1899,0.46066153049468994,0.662754237651825,,
14,1934,,,0.23865239322185516,0.7459254264831543
15,1949,0.38353362679481506,0.6222519874572754,,
15,1999,0.1625431478023529,0.7970421314239502,,
15,2049,0.18930384516716003,0.815339982509613,,
15,2063,,,0.5016127824783325,0.4911842346191406
16,2099,0.39114564657211304,0.5780714750289917,,
16,2149,0.20230203866958618,0.6655913591384888,,
16,2192,,,0.5005313158035278,0.49007225036621094
17,2199,0.49566346406936646,0.42433011531829834,,
17,2249,0.2568231523036957,0.7790950536727905,,
17,2299,0.3049502670764923,0.684410572052002,,
17,2321,,,0.43596935272216797,0.5550868511199951
18,2349,0.18729889392852783,0.8299754858016968,,
18,2399,0.3021765351295471,0.5811277627944946,,
18,2449,0.29001089930534363,0.8123127222061157,,
