epoch,step,train_loss,train_r2,val_loss,val_r2
0,49,0.5264581441879272,0.3791985511779785,,
0,99,0.33641156554222107,0.7325195670127869,,
0,128,,,0.31487837433815,0.6682567596435547
1,149,0.3050740957260132,0.523234486579895,,
1,199,0.16583901643753052,0.7903136610984802,,
1,249,0.31586623191833496,0.7724180817604065,,
1,257,,,0.2931557297706604,0.6897168755531311
2,299,1.026894211769104,0.42697566747665405,,
2,349,0.3678455650806427,0.5695784091949463,,
2,386,,,0.2968980073928833,0.6885861754417419
3,399,0.754231870174408,0.33918774127960205,,
3,449,0.5902894139289856,0.376900851726532,,
3,499,0.27939438819885254,0.7696877121925354,,
3,515,,,0.2656189501285553,0.7189028263092041
4,549,0.14848139882087708,0.794878363609314,,
4,599,0.334848016500473,0.6018688678741455,,
4,644,,,0.269071489572525,0.7120988368988037
5,649,0.3502253293991089,0.4907940626144409,,
5,699,0.3011002242565155,0.7288626432418823,,
5,749,0.409567654132843,0.5811800956726074,,
5,773,,,0.3420710861682892,0.6459590196609497
6,799,0.33026570081710815,0.707147479057312,,
6,849,0.3955279290676117,0.42192399501800537,,
6,899,0.31337618827819824,0.7866816520690918,,
6,902,,,0.26984918117523193,0.7154085636138916
7,949,0.26614853739738464,0.75522780418396,,
7,999,0.193096324801445,0.7041105628013611,,
7,1031,,,0.40138569474220276,0.5888674855232239
8,1049,0.18379181623458862,0.7741891741752625,,
8,1099,0.16318319737911224,0.8056997656822205,,
8,1149,0.4611911475658417,0.5097748637199402,,
8,1160,,,0.30091002583503723,0.6845732927322388
9,1199,0.49708548188209534,0.6325427293777466,,
9,1249,0.28607335686683655,0.7031853199005127,,
9,1289,,,0.24339362978935242,0.742224931716919
10,1299,0.3491772711277008,0.7552834153175354,,
10,1349,0.2797478437423706,0.7875399589538574,,
10,1399,0.44162407517433167,0.4338964819908142,,
10,1418,,,0.30400723218917847,0.6808922290802002
11,1449,0.31322038173675537,0.6930609941482544,,
11,1499,0.30175676941871643,0.7576315999031067,,
11,1547,,,0.23515605926513672,0.7472550272941589
12,1549,0.23104125261306763,0.45983147621154785,,
12,1599,0.38231563568115234,0.6430447101593018,,
12,1649,0.22895316779613495,0.6511328220367432,,
12,1676,,,0.23499135673046112,0.7484469413757324
13,1699,0.46183815598487854,0.6123495101928711,,
13,1749,0.32820409536361694,0.7542785406112671,,
13,1799,0.3740423917770386,0.6520957350730896,,
13,1805,,,0.23354068398475647,0.7495418787002563
14,1849,0.47403621673583984,0.48638486862182617,,
14,1899,0.21875110268592834,0.7925289273262024,,
14,1934,,,0.24030737578868866,0.7438698410987854
15,1949,0.5784302949905396,0.23797297477722168,,
15,1999,0.1847015917301178,0.8257225751876831,,
15,2049,0.2470642328262329,0.7312048673629761,,
15,2063,,,0.24152922630310059,0.7440930008888245
16,2099,0.2227085679769516,0.8013685941696167,,
16,2149,0.17408767342567444,0.8758574724197388,,
16,2192,,,0.5112137198448181,0.4822574853897095
17,2199,0.3102213144302368,0.7043241858482361,,
17,2249,0.36935746669769287,0.7197991609573364,,
17,2299,0.20971959829330444,0.7947021722793579,,
17,2321,,,0.24157172441482544,0.7464262247085571
18,2349,0.17069126665592194,0.8467431664466858,,
18,2399,0.2995103597640991,0.6407531499862671,,
18,2449,0.3568136990070343,0.7046123743057251,,
18,2450,,,0.2633103132247925,0.7254170775413513
19,2499,0.17749392986297607,0.8290941715240479,,
19,2549,0.5609158873558044,0.5802249908447266,,
19,2579,,,0.3298310339450836,0.6596276164054871
20,2599,0.2198246866464615,0.8315446972846985,,
20,2649,0.30776742100715637,0.670452356338501,,
20,2699,0.3832402229309082,0.633996844291687,,
20,2708,,,0.49387213587760925,0.49772951006889343
21,2749,0.36496105790138245,0.5861755013465881,,
21,2799,0.2013983130455017,0.7624074220657349,,
21,2837,,,0.23239627480506897,0.7489640712738037
22,2849,0.17736941576004028,0.790402889251709,,
22,2899,0.5014890432357788,0.653392493724823,,
22,2949,0.35879576206207275,0.2473272681236267,,
22,2966,,,0.23077955842018127,0.7540844678878784
23,2999,0.41103222966194153,0.5051982402801514,,
23,3049,0.20095978677272797,0.7827020883560181,,
23,3095,,,0.37426114082336426,0.6172334551811218
24,3099,0.17769017815589905,0.6529146432876587,,
24,3149,0.17598897218704224,0.865638017654419,,
24,3199,0.267160028219223,0.7127786874771118,,
